%
%
% Run:EXP   Table:LINE1             SWAN version:41.20AB
%
%       Dist          Depth         Hsig          Dir           Dspr          Tm01          Tm02          RTpeak      X-Vel         Y-Vel           Ssurf         Qb            Sfric    
%       [m]           [m]           [m]           [degr]        [degr]        [sec]         [sec]         [sec]         [m/s]         [m/s]         [m2/s]        [ ]           [m2/s]   
%
         570.       34.3000       4.63225       196.210       27.9137        7.4728        6.8598        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         573.       34.5000       4.63459       196.237       27.9419        7.4737        6.8610        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         577.       34.7000       4.63691       196.264       27.9698        7.4746        6.8621        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         580.       34.9000       4.63923       196.291       27.9973        7.4755        6.8632        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         583.       35.1000       4.64154       196.317       28.0245        7.4765        6.8644        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         587.       35.3000       4.64383       196.343       28.0515        7.4774        6.8656        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         590.       35.5000       4.64612       196.369       28.0781        7.4783        6.8667        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         593.       35.7000       4.64840       196.395       28.1045        7.4793        6.8679        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         597.       35.9000       4.65066       196.420       28.1305        7.4802        6.8690        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         600.       36.1000       4.65292       196.445       28.1563        7.4812        6.8702        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         603.       36.3000       4.65517       196.470       28.1817        7.4822        6.8714        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         607.       36.5000       4.65741       196.495       28.2070        7.4832        6.8725        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         610.       36.7000       4.65963       196.519       28.2319        7.4841        6.8737        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         613.       36.9000       4.66185       196.543       28.2566        7.4851        6.8749        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         617.       37.1000       4.66406       196.567       28.2810        7.4861        6.8760        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         620.       37.3000       4.66625       196.591       28.3051        7.4871        6.8772        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         623.       37.5000       4.66844       196.615       28.3289        7.4881        6.8784        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         627.       37.7000       4.67061       196.638       28.3526        7.4891        6.8796        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         630.       37.9000       4.67277       196.661       28.3759        7.4902        6.8807        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         633.       38.1000       4.67493       196.684       28.3990        7.4912        6.8819        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         637.       38.3000       4.67707       196.707       28.4219        7.4922        6.8831        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         640.       38.5000       4.67921       196.729       28.4444        7.4932        6.8843        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         643.       38.7000       4.68132       196.751       28.4668        7.4943        6.8854        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         647.       38.9000       4.68343       196.773       28.4890        7.4953        6.8866        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
         650.       39.1000       4.68553       196.795       28.5108        7.4963        6.8878        9.6993      0.000000      0.000000     0.0000000      0.000000     0.0000000 
